State,District,Route
WEST BENGAL,North 24 Parganas,"Ganadipayan B.O,Habra - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gandharbpur B.O,Gandharbapur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ganganagar S.O (North 24 Parganas),Barasat - II Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ganrapota S.O,Ganrapota Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ganti B.O,Ganti Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Garakupi B.O,Garakupi Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gazipur B.O,Gazipur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ghatbour B.O,Ghatbour Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ghatihara B.O,Ghatihara Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ghatpatila B.O,Ghatpatila Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ghona B.O,Ghona Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ghoni B.O,Ghoni Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ghonza B.O,Ghonza Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ghosalbati B.O,Ghosalbati Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ghoshpara B.O,Ghoshpara Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ghoshpur B.O,Ghoshpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Goalbathan B.O,Goalbathan Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Goaldaha B.O,Goaldaha Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gobardanga Ichapur B.O,Gobardanga Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gobardanga S.O,Habra - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gobardhanpur B.O,Gobardhanpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gobila B.O,Gobila Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gobinda Pur B.O,Gobindapur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gobrapur B.O,Gobrapur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gokna B.O,Gokna Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gokulpur B.O,Gokulpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Golabari Bazar B.O,Barasat - II Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gopalnagar S.O (North 24 Parganas),Gopalnagar Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gopalpur S.O (North 24 Parganas),Gopalpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Goribpur S.O,Goribpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Goshna B.O,Basirhat - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gotra B.O,Gotra Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gotri B.O,Gotri Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gouribhoj B.O,Basirhat - II Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Guma S.O,Guma Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Habra Prafulla Nagar S.O,Habra - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Habra S.O,Habra - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hadipur B.O,Deganga Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hakimpur B.O,Hakimpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Harba Srinagar B.O,Habra - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Haripur S.O (North 24 Parganas),Habra - II Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Harishpur B.O,Basirhat - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Haroa S.O,Haroa Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hasnabad Rampur B.O,Rampur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hasnabad S.O,Hasnabad Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hatgachha S.O,Hatgachha Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hatisala B.O,Hatisala Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hatkurulia B.O,Hatkurulia Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hatthuba B.O,Habra - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Helencha Colony S.O,H Colony Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hemnagar B.O,Hemnagar Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hijalpukuria S.O,Habra - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hingalganj S.O,Hingalganj Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hingli B.O,Hingli Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hishabi B.O,Hishabi Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Hridaypur S.O,Barasat - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ichapurabad B.O,Ichapurabad Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Iswarigacha B.O,Iswarigacha Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Itinda S.O,Itinda Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Jadurhati S.O,Jadurhati Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Jagadishpur B.O,Jagadishpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Jagannathpur B.O,Jagannathpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Jaleswar B.O,Jaleswar Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Janaphul B.O,Janaphul Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Jangalpur B.O,Jangalpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Jasaikati B.O,Jasaikati Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Jesur Jeoldanga B.O,Jeoldanga Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Jhawdanga B.O,Jhawdanga Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Jhikra B.O,Jhikra Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Jhopkhali B.O,Jhopkhali Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Jogeshganj B.O,Jogeshganj Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Joygopalpur B.O,Joygopalpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Joygram B.O,Joygram Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Joypul B.O,Joypul Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kachdaha B.O,Kachdaha Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kachua B.O,Kachua Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kachua Swarupnagar B.O,Kachua Swarupnagar Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kadambagachi B.O,Kadambagachi Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kadampukur B.O,Kadampukur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kahankia B.O,Kahankia Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kaijuri B.O,Kaijuri Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kaipukuria B.O,Kaipukuria Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kaliani B.O,Kaliani Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kalinagar Hat B.O,Kalinagar Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kalitala B.O,Kalitala Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kalupur B.O,Kalupur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kalyangarh S.O,Habra - II Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kamdevkati B.O,Kamdevkati Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kamdevpur B.O,Kamdevpur Dist:North 24 Parganas,WB"
